Food code,Main food description,Food description
57126000,"Cereal, chocolate crispy","The image shows the food category of cereal, chocolate crispy. Additional details include cocoa Krispies; Cocoa Pebbles."
57132000,"Cereal, corn squares","The image shows the food category of cereal, corn squares. Additional details include chex, Corn."
57134000,"Cereal, corn flakes, plain","The image shows the food category of cereal, corn flakes, plain."
57137000,"Cereal, corn puffs","The image shows the food category of cereal, corn puffs. Additional details include kix."
57151000,"Cereal, rice crispy, plain","The image shows the food category of cereal, rice crispy, plain. Additional details include rice Krispies."
57207000,"Cereal, bran flakes, plain","The image shows the food category of cereal, bran flakes, plain. Additional details include all-Bran; Bran; Grape-Nuts; Fiber One."
57214000,"Cereal, shredded wheat, flavored","The image shows the food category of cereal, shredded wheat, flavored. Additional details include frosted mini wheats; spoon size."
57216000,"Cereal, rice crispy, flavored","The image shows the food category of cereal, rice crispy, flavored. Additional details include rice Krispies, all flavors."
57221700,"Cereal, fruit rings","The image shows the food category of cereal, fruit rings. Additional details include froot Loops; Apple Jacks."
57223000,"Cereal, fruit crispy","The image shows the food category of cereal, fruit crispy. Additional details include fruity Pebbles."
57227000,"Cereal, granola","The image shows the food category of cereal, granola. Additional details include mueslix."
57237100,"Cereal, oat bunches","The image shows the food category of cereal, oat bunches. Additional details include honey Bunches of Oats, all types; Oat Blenders."
57240100,"Cereal, corn squares, flavored","The image shows the food category of cereal, corn squares, flavored. Additional details include chex, Honey Nut; Chex, not further specified subcategory assigned; Golden Grahams."
57241000,"Cereal, O's, honey nut","The image shows the food category of cereal, O's, honey nut. Additional details include cheerios, Honey Nut."
57301600,"Cereal, multigrain","The image shows the food category of cereal, multigrain. Additional details include great Grains; Kashi, not further specified subcategory assigned; Kashi GOLEAN; Fiber One, flavored."
57304100,"Cereal, oat squares","The image shows the food category of cereal, oat squares. Additional details include life; Oatmeal Squares; Alpha-Bits."
57305150,"Cereal, frosted oats with marshmallows","The image shows the food category of cereal, frosted oats with marshmallows. Additional details include lucky Charms; Marshmallow Mateys."
57308400,"Cereal, O's, multigrain","The image shows the food category of cereal, O's, multigrain. Additional details include cheerios, Multigrain."
57329000,"Cereal, bran flakes, flavored","The image shows the food category of cereal, bran flakes, flavored. Additional details include raisin bran."
57336000,"Cereal, rice squares","The image shows the food category of cereal, rice squares. Additional details include chex, Rice."
57344000,"Cereal, K's, plain","The image shows the food category of cereal, K's, plain. Additional details include special K; Special K Protein."
57344010,"Cereal, K's, flavored","The image shows the food category of cereal, K's, flavored. Additional details include special K."
57347000,"Cereal, flavored puffs","The image shows the food category of cereal, flavored puffs. Additional details include corn Pops; Golden Puffs; Honeycomb; Honey Smacks; Trix."
57348000,"Cereal, corn flakes, flavored","The image shows the food category of cereal, corn flakes, flavored. Additional details include frosted flakes; Zucaritas."
57401100,"Cereal, O's, not further specified subcategory assigned","The image shows the food category of cereal, O's, not further specified subcategory assigned. Additional details include cheerios, not further specified subcategory assigned."
57411000,"Cereal, wheat squares","The image shows the food category of cereal, wheat squares. Additional details include chex, Wheat."
57412000,Wheat germ,The image shows the food category of wheat germ.
57416000,"Cereal, plain puffs","The image shows the food category of cereal, plain puffs. Additional details include puffed wheat, rice, or millet."
57417000,"Cereal, shredded wheat, plain","The image shows the food category of cereal, shredded wheat, plain. Additional details include mini wheats; spoon size."
57418000,"Cereal, wheat flakes","The image shows the food category of cereal, wheat flakes. Additional details include total; Wheaties; wheat cereal."
57420100,"Cereal, other, not further specified subcategory assigned","The image shows the food category of cereal, other, not further specified subcategory assigned. Additional details include oS."
57420110,"Cereal, other, plain","The image shows the food category of cereal, other, plain. Additional details include oS."
57420120,"Cereal, other, fruit flavored","The image shows the food category of cereal, other, fruit flavored. Additional details include oS."
57420130,"Cereal, other, chocolate","The image shows the food category of cereal, other, chocolate. Additional details include oS."
57420140,"Cereal, other, peanut butter","The image shows the food category of cereal, other, peanut butter. Additional details include oS, nuts; peanut butter puffs."
57420150,"Cereal, other, honey","The image shows the food category of cereal, other, honey. Additional details include oS, cinnamon, marshmallows."
57420160,"Cereal, reduced sugar","The image shows the food category of cereal, reduced sugar."
57601100,Wheat bran,The image shows the food category of wheat bran. Additional details include millers bran.
57602100,"Oats, raw","The image shows the food category of oats, raw."
57602500,"Cereal, oat bran, ready-to-eat","The image shows the food category of cereal, oat bran, ready-to-eat."
57801000,"Baby Toddler cereal, barley, dry","The image shows the food category of baby Toddler cereal, barley, dry. Additional details include fruit."
57804000,"Baby Toddler cereal, oatmeal, dry","The image shows the food category of baby Toddler cereal, oatmeal, dry."
57805000,"Baby Toddler cereal, rice, dry","The image shows the food category of baby Toddler cereal, rice, dry. Additional details include dry baby cereal, not further specified subcategory assigned."
57805090,"Baby Toddler cereal, rice with fruit, dry","The image shows the food category of baby Toddler cereal, rice with fruit, dry."
57806000,"Baby Toddler cereal, multigrain with fruit, dry","The image shows the food category of baby Toddler cereal, multigrain with fruit, dry. Additional details include whole wheat."
57806050,"Baby Toddler cereal, multigrain, dry","The image shows the food category of baby Toddler cereal, multigrain, dry. Additional details include whole wheat."
57806100,"Baby Toddler cereal, oatmeal with fruit, dry","The image shows the food category of baby Toddler cereal, oatmeal with fruit, dry."
57820000,"Baby Toddler cereal, not further specified subcategory assigned","The image shows the food category of baby Toddler cereal, not further specified subcategory assigned."
57820100,"Baby Toddler cereal, rice, ready-to-eat","The image shows the food category of baby Toddler cereal, rice, ready-to-eat."
57820200,"Baby Toddler cereal, oatmeal, ready-to-eat","The image shows the food category of baby Toddler cereal, oatmeal, ready-to-eat. Additional details include ready-to-eat baby cereal, not further specified subcategory assigned."
57820300,"Baby Toddler cereal, multigrain, ready-to-eat","The image shows the food category of baby Toddler cereal, multigrain, ready-to-eat. Additional details include whole wheat; barley."
57822000,"Baby Toddler cereal, multigrain with fruit, ready-to-eat","The image shows the food category of baby Toddler cereal, multigrain with fruit, ready-to-eat. Additional details include whole wheat; barley."
57823000,"Baby Toddler cereal, oatmeal with fruit, ready-to-eat","The image shows the food category of baby Toddler cereal, oatmeal with fruit, ready-to-eat."
57824000,"Baby Toddler cereal, rice with fruit, ready-to-eat","The image shows the food category of baby Toddler cereal, rice with fruit, ready-to-eat."
58100360,Chilaquiles,The image shows the food category of chilaquiles. Additional details include migas; tortilla casserole.
58101830,Frito pie,The image shows the food category of frito pie.
58101835,Mexican pizza,The image shows the food category of mexican pizza.
58101930,Taco or tostada salad with meat,"The image shows the food category of taco or tostada salad with meat. Additional details include taco Bell Taco Salad; with beef, steak, pork, sausage, and/or chorizo."
58101935,Taco or tostada salad with chicken,The image shows the food category of taco or tostada salad with chicken. Additional details include with turkey.
58101940,"Taco or tostada salad, meatless","The image shows the food category of taco or tostada salad, meatless."
58101945,Taco or tostada salad with meat and sour cream,"The image shows the food category of taco or tostada salad with meat and sour cream. Additional details include with beef, steak, pork, sausage, and/or chorizo."
58101950,Taco or tostada salad with chicken and sour cream,The image shows the food category of taco or tostada salad with chicken and sour cream. Additional details include with turkey.
58101955,"Taco or tostada salad, meatless with sour cream","The image shows the food category of taco or tostada salad, meatless with sour cream."
58102000,"Taco, not further specified subcategory assigned","The image shows the food category of taco, not further specified subcategory assigned. Additional details include tostada, not further specified subcategory assigned."
58102010,"Taco, corn tortilla, beef, cheese","The image shows the food category of taco, corn tortilla, beef, cheese. Additional details include tostada; hard taco; steak; any 2 or more meats."
58102020,"Taco, corn tortilla, beef, with beans, cheese","The image shows the food category of taco, corn tortilla, beef, with beans, cheese. Additional details include tostada; hard taco; steak; any 2 or more meats."
58102030,"Taco, corn tortilla, pork, cheese","The image shows the food category of taco, corn tortilla, pork, cheese. Additional details include tostada; hard taco; carnita, chorizo or sausage."
58102040,"Taco, corn tortilla, pork, with beans, cheese","The image shows the food category of taco, corn tortilla, pork, with beans, cheese. Additional details include tostada; hard taco; carnita, chorizo or sausage."
58102050,"Taco, corn tortilla, chicken, cheese","The image shows the food category of taco, corn tortilla, chicken, cheese. Additional details include tostada; hard taco; turkey."
58102060,"Taco, corn tortilla, chicken, with beans, cheese","The image shows the food category of taco, corn tortilla, chicken, with beans, cheese. Additional details include tostada; hard taco; turkey."
58102070,"Taco, corn tortilla, with beans, cheese","The image shows the food category of taco, corn tortilla, with beans, cheese. Additional details include tostada; hard taco; meat substitute."
58102110,"Taco, flour tortilla, beef, cheese","The image shows the food category of taco, flour tortilla, beef, cheese. Additional details include soft taco; steak; any 2 or more meats."
58102120,"Taco, flour tortilla, beef, with beans, cheese","The image shows the food category of taco, flour tortilla, beef, with beans, cheese. Additional details include soft taco; steak; any 2 or more meats."
58102130,"Taco, flour tortilla, pork, cheese","The image shows the food category of taco, flour tortilla, pork, cheese. Additional details include soft taco; carnita, chorizo or sausage."
58102140,"Taco, flour tortilla, pork, with beans, cheese","The image shows the food category of taco, flour tortilla, pork, with beans, cheese. Additional details include soft taco; carnita, chorizo or sausage."
58102150,"Taco, flour tortilla, chicken, cheese","The image shows the food category of taco, flour tortilla, chicken, cheese. Additional details include soft taco; turkey."
58102160,"Taco, flour tortilla, chicken, with beans, cheese","The image shows the food category of taco, flour tortilla, chicken, with beans, cheese. Additional details include soft taco; turkey."
58102170,"Taco, flour tortilla, with beans, cheese","The image shows the food category of taco, flour tortilla, with beans, cheese. Additional details include soft taco; meat substitute."
58102210,"Taco, fish","The image shows the food category of taco, fish. Additional details include tostada; shrimp."
58102220,"Taco, meat, no cheese","The image shows the food category of taco, meat, no cheese. Additional details include tostada."
58102230,"Taco, meat, with beans, no cheese","The image shows the food category of taco, meat, with beans, no cheese. Additional details include tostada."
58102240,"Taco, with beans, no cheese","The image shows the food category of taco, with beans, no cheese. Additional details include tostada; meat substitute."
58102250,"Taco, cheese only","The image shows the food category of taco, cheese only. Additional details include tostada."
58102300,"Burrito, not further specified subcategory assigned","The image shows the food category of burrito, not further specified subcategory assigned."
58102310,"Burrito, beef, cheese","The image shows the food category of burrito, beef, cheese. Additional details include steak; any 2 or more meats."
58102320,"Burrito, beef, with rice, cheese","The image shows the food category of burrito, beef, with rice, cheese. Additional details include steak; any 2 or more meats."
58102330,"Burrito, beef, with beans, cheese","The image shows the food category of burrito, beef, with beans, cheese. Additional details include steak; any 2 or more meats."
58102340,"Burrito, beef, with beans and rice, cheese","The image shows the food category of burrito, beef, with beans and rice, cheese. Additional details include steak; any 2 or more meats."
58102410,"Burrito, pork, cheese","The image shows the food category of burrito, pork, cheese. Additional details include carnita, chorizo or sausage."
58102420,"Burrito, pork, with rice, cheese","The image shows the food category of burrito, pork, with rice, cheese. Additional details include carnita, chorizo or sausage."
58102430,"Burrito, pork, with beans, cheese","The image shows the food category of burrito, pork, with beans, cheese. Additional details include carnita, chorizo or sausage."
58102440,"Burrito, pork, with beans and rice, cheese","The image shows the food category of burrito, pork, with beans and rice, cheese. Additional details include carnita, chorizo or sausage."
58102510,"Burrito, chicken, cheese","The image shows the food category of burrito, chicken, cheese. Additional details include turkey; fish or shrimp."
58102520,"Burrito, chicken, with rice, cheese","The image shows the food category of burrito, chicken, with rice, cheese. Additional details include turkey; fish or shrimp."
58102530,"Burrito, chicken, with beans, cheese","The image shows the food category of burrito, chicken, with beans, cheese. Additional details include turkey; fish or shrimp."
58102540,"Burrito, chicken, with beans and rice, cheese","The image shows the food category of burrito, chicken, with beans and rice, cheese. Additional details include turkey; fish or shrimp."
58102605,"Burrito, with beans, no cheese","The image shows the food category of burrito, with beans, no cheese. Additional details include meat substitute; rice."
58102610,"Burrito, with beans, cheese","The image shows the food category of burrito, with beans, cheese. Additional details include meat substitute."
58102620,"Burrito, with beans and rice, cheese","The image shows the food category of burrito, with beans and rice, cheese. Additional details include meat substitute."
58102630,"Burrito, meat, no cheese","The image shows the food category of burrito, meat, no cheese."
58102640,"Burrito, meat, with rice, no cheese","The image shows the food category of burrito, meat, with rice, no cheese."
58102650,"Burrito, meat, with beans, no cheese","The image shows the food category of burrito, meat, with beans, no cheese."
58102660,"Burrito, meat, with beans and rice, no cheese","The image shows the food category of burrito, meat, with beans and rice, no cheese."
58102680,"Burrito, cheese only","The image shows the food category of burrito, cheese only."
58102700,"Burrito bowl, not further specified subcategory assigned","The image shows the food category of burrito bowl, not further specified subcategory assigned."
58102710,"Burrito bowl, beef or pork","The image shows the food category of burrito bowl, beef or pork. Additional details include steak; carnita, chorizo or sausage; cheese."
58102720,"Burrito bowl, beef or pork, with rice","The image shows the food category of burrito bowl, beef or pork, with rice. Additional details include steak; carnita, chorizo or sausage; cheese."
58102730,"Burrito bowl, beef or pork, with beans","The image shows the food category of burrito bowl, beef or pork, with beans. Additional details include steak; carnita, chorizo or sausage; cheese."
58102740,"Burrito bowl, beef or pork, with beans and rice","The image shows the food category of burrito bowl, beef or pork, with beans and rice. Additional details include steak; carnita, chorizo or sausage; cheese."
58102750,"Burrito bowl, chicken","The image shows the food category of burrito bowl, chicken. Additional details include turkey; fish or shrimp; cheese."
58102760,"Burrito bowl, chicken, with rice","The image shows the food category of burrito bowl, chicken, with rice. Additional details include turkey; fish or shrimp; cheese."
58102770,"Burrito bowl, chicken, with beans","The image shows the food category of burrito bowl, chicken, with beans. Additional details include turkey; fish or shrimp; cheese."
58102780,"Burrito bowl, chicken, with beans and rice","The image shows the food category of burrito bowl, chicken, with beans and rice. Additional details include turkey; fish or shrimp; cheese."
58102790,"Burrito bowl, with beans","The image shows the food category of burrito bowl, with beans. Additional details include meat substitute; rice; cheese."
58102800,"Enchilada, not further specified subcategory assigned","The image shows the food category of enchilada, not further specified subcategory assigned."
58102810,"Enchilada, beef","The image shows the food category of enchilada, beef. Additional details include steak; beans; cheese."
58102820,"Enchilada, pork","The image shows the food category of enchilada, pork. Additional details include carnita, chorizo or sausage; beans; cheese."
58102830,"Enchilada, chicken","The image shows the food category of enchilada, chicken. Additional details include turkey; fish or shrimp; beans; cheese."
58102840,"Enchilada, no meat","The image shows the food category of enchilada, no meat. Additional details include cheese."
58103100,"Tamale, not further specified subcategory assigned","The image shows the food category of tamale, not further specified subcategory assigned."
58103120,"Tamale, beef","The image shows the food category of tamale, beef. Additional details include steak."
58103125,"Tamale, pork","The image shows the food category of tamale, pork. Additional details include carnita, chorizo or sausage."
58103130,"Tamale, chicken","The image shows the food category of tamale, chicken. Additional details include turkey; fish or shrimp."
58103250,"Tamale, no meat","The image shows the food category of tamale, no meat."
58103310,Tamale casserole with meat,The image shows the food category of tamale casserole with meat.
58104105,"Nachos, not further specified subcategory assigned","The image shows the food category of nachos, not further specified subcategory assigned."
58104120,"Nachos, cheese only","The image shows the food category of nachos, cheese only."
58104130,"Nachos, beef or pork","The image shows the food category of nachos, beef or pork. Additional details include steak; carnita, chorizo or sausage; cheese."
58104135,"Nachos, beef or pork, with beans","The image shows the food category of nachos, beef or pork, with beans. Additional details include steak; carnita, chorizo or sausage; cheese."
58104150,"Nachos, chicken","The image shows the food category of nachos, chicken. Additional details include turkey; fish or shrimp; cheese."
58104165,"Nachos, chicken, with beans","The image shows the food category of nachos, chicken, with beans. Additional details include turkey; fish or shrimp; cheese."
58104170,"Nachos, with beans","The image shows the food category of nachos, with beans. Additional details include meat substitute; cheese."
58104255,"Gordita, cheese only","The image shows the food category of gordita, cheese only. Additional details include chalupa; sopes."
58104260,"Gordita, with beans","The image shows the food category of gordita, with beans. Additional details include chalupa; sopes; cheese."
58104290,"Gordita, meat","The image shows the food category of gordita, meat. Additional details include gordita, chalupa, sopes, not further specified subcategory assigned; cheese."
58104295,"Gordita, meat, with beans","The image shows the food category of gordita, meat, with beans. Additional details include chalupa; sopes; cheese."
58104500,"Chimichanga, meat","The image shows the food category of chimichanga, meat. Additional details include chimichanga, not further specified subcategory assigned; steak; carnita, chorizo or sausage; cheese."
58104520,"Chimichanga, with beans","The image shows the food category of chimichanga, with beans. Additional details include meat substitute; cheese."
58104530,"Chimichanga, chicken","The image shows the food category of chimichanga, chicken. Additional details include turkey; fish or shrimp; cheese."
58104700,"Quesadilla, not further specified subcategory assigned","The image shows the food category of quesadilla, not further specified subcategory assigned."
58104710,"Quesadilla, cheese only","The image shows the food category of quesadilla, cheese only."
58104730,"Quesadilla, beef or pork","The image shows the food category of quesadilla, beef or pork. Additional details include steak; carnita, chorizo or sausage; cheese."
58104740,"Quesadilla, chicken","The image shows the food category of quesadilla, chicken. Additional details include turkey; fish or shrimp; cheese."
58104750,"Quesadilla, with vegetables","The image shows the food category of quesadilla, with vegetables. Additional details include cheese."
58104760,"Quesadilla, beef or pork, with vegetables","The image shows the food category of quesadilla, beef or pork, with vegetables. Additional details include steak; carnita, chorizo or sausage; cheese."
58104770,"Quesadilla, chicken, with vegetables","The image shows the food category of quesadilla, chicken, with vegetables. Additional details include turkey; fish or shrimp; cheese."
58104780,"Quesadilla, egg","The image shows the food category of quesadilla, egg. Additional details include cheese."
58104790,"Quesadilla, egg, with meat","The image shows the food category of quesadilla, egg, with meat. Additional details include cheese."
58104800,"Taquito, cheese only","The image shows the food category of taquito, cheese only. Additional details include flauta."
58104825,"Taquito, beef or pork","The image shows the food category of taquito, beef or pork. Additional details include taquito or flauta, not further specified subcategory assigned; steak; carnita, chorizo or sausage; cheese."
58104835,"Taquito, chicken","The image shows the food category of taquito, chicken. Additional details include flauta; turkey; fish or shrimp; cheese."
58104900,"Taquito, egg","The image shows the food category of taquito, egg. Additional details include flauta; with meat; cheese."
58104990,"Fajita, not further specified subcategory assigned","The image shows the food category of fajita, not further specified subcategory assigned."
58105000,"Fajita, chicken","The image shows the food category of fajita, chicken. Additional details include turkey; cheese."
58105050,"Fajita, beef or pork","The image shows the food category of fajita, beef or pork. Additional details include steak; carnita, chorizo or sausage; cheese."
58105060,"Fajita, shrimp","The image shows the food category of fajita, shrimp. Additional details include fish; cheese."
58105075,"Fajita, vegetable","The image shows the food category of fajita, vegetable. Additional details include cheese."
58105100,"Pupusa, cheese only","The image shows the food category of pupusa, cheese only. Additional details include pupusa or arepa, not further specified subcategory assigned."
58105105,"Pupusa, with beans","The image shows the food category of pupusa, with beans. Additional details include arepa; cheese."
58105110,"Pupusa, meat","The image shows the food category of pupusa, meat. Additional details include arepa; cheese."
58105120,"Pupusa, meat, with beans","The image shows the food category of pupusa, meat, with beans. Additional details include arepa; cheese."
58106200,"Pizza, cheese, from frozen, thin crust","The image shows the food category of pizza, cheese, from frozen, thin crust. Additional details include not specified subcategory as to toppings; original, medium, flatbread, or not specified subcategory as to type of crust; homemade or ready-to-bake pizza."
58106205,"Pizza, cheese, from frozen, thick crust","The image shows the food category of pizza, cheese, from frozen, thick crust. Additional details include pan pizza; not specified subcategory as to toppings; homemade or ready-to-bake pizza; pizza on bagel, English muffin, or French bread; bagel bites."
58106210,"Pizza, cheese, from restaurant or fast food, not specified subcategory as to type of crust","The image shows the food category of pizza, cheese, from restaurant or fast food, not specified subcategory as to type of crust. Additional details include pizza, not specified subcategory as to source, topping and crust."
58106220,"Pizza, cheese, from restaurant or fast food, thin crust","The image shows the food category of pizza, cheese, from restaurant or fast food, thin crust. Additional details include not specified subcategory as to toppings; flatbread pizza; from street vendor."
58106225,"Pizza, cheese, from restaurant or fast food, medium crust","The image shows the food category of pizza, cheese, from restaurant or fast food, medium crust. Additional details include not specified subcategory as to toppings; original or hand-tossed pizza; from street vendor."
58106230,"Pizza, cheese, from restaurant or fast food, thick crust","The image shows the food category of pizza, cheese, from restaurant or fast food, thick crust. Additional details include pan pizza; not specified subcategory as to topping; from street vendor; pizza on bagel, English muffin, or French bread."
58106233,"Pizza, cheese, stuffed crust","The image shows the food category of pizza, cheese, stuffed crust. Additional details include with tomatoes; cheese stuffed crust."
58106234,"Pizza, cheese, from school lunch, medium crust","The image shows the food category of pizza, cheese, from school lunch, medium crust. Additional details include not specified subcategory as to toppings; original  or not specified subcategory as to type of crust."
58106235,"Pizza, cheese, from school lunch, thin crust","The image shows the food category of pizza, cheese, from school lunch, thin crust. Additional details include not specified subcategory as to toppings; flatbread crust."
58106236,"Pizza, cheese, from school lunch, thick crust","The image shows the food category of pizza, cheese, from school lunch, thick crust. Additional details include pan pizza; not specified subcategory as to toppings; pizza on bagel, English muffin, or French bread."
58106250,"Pizza, extra cheese, thin crust","The image shows the food category of pizza, extra cheese, thin crust. Additional details include original, hand-tossed, medium, flatbread, or not specified subcategory as to type of crust."
58106260,"Pizza, extra cheese, thick crust","The image shows the food category of pizza, extra cheese, thick crust. Additional details include pan pizza; pizza on bagel, English muffin, or French bread."
58106300,"Pizza, cheese, with vegetables, from frozen, thin crust","The image shows the food category of pizza, cheese, with vegetables, from frozen, thin crust. Additional details include original, medium, flatbread, or not specified subcategory as to type of crust; homemade or ready-to-bake pizza."
58106305,"Pizza, cheese with vegetables, from frozen, thick crust","The image shows the food category of pizza, cheese with vegetables, from frozen, thick crust. Additional details include pan pizza; homemade or ready to bake pizza; pizza on a bagel, English muffin, or French bread."
58106320,"Pizza, cheese, with vegetables, from restaurant or fast food, thin crust","The image shows the food category of pizza, cheese, with vegetables, from restaurant or fast food, thin crust. Additional details include with one or two vegetable toppings; flatbread crust; from street vendor."
58106325,"Pizza, cheese, with vegetables, from restaurant or fast food, medium crust","The image shows the food category of pizza, cheese, with vegetables, from restaurant or fast food, medium crust. Additional details include with one or two vegetable toppings; original, hand-tossed, or not specified subcategory as to type of crust; from street vendor."
58106330,"Pizza, cheese, with vegetables, from restaurant or fast food, thick crust","The image shows the food category of pizza, cheese, with vegetables, from restaurant or fast food, thick crust. Additional details include pan pizza; with one or two vegetable toppings; from street vendor; pizza on a bagel, English muffin, or French bread."
58106345,"Pizza with cheese and extra vegetables, thin crust","The image shows the food category of pizza with cheese and extra vegetables, thin crust. Additional details include with three or more vegetable toppings; flatbread crust."
58106347,"Pizza with cheese and extra vegetables, medium crust","The image shows the food category of pizza with cheese and extra vegetables, medium crust. Additional details include with three or more vegetable toppings; original, hand-tossed, or not specified subcategory as to type of crust."
58106350,"Pizza with cheese and extra vegetables, thick crust","The image shows the food category of pizza with cheese and extra vegetables, thick crust. Additional details include with three or more vegetable toppings; pan pizza; pizza on a bagel, English muffin, or French bread."
58106358,"Pizza, cheese, with fruit, thin crust","The image shows the food category of pizza, cheese, with fruit, thin crust. Additional details include all fruits including pineapple; flatbread crust."
58106359,"Pizza, cheese, with fruit, medium crust","The image shows the food category of pizza, cheese, with fruit, medium crust. Additional details include all fruits including pineapple; original, hand-tossed or  not specified subcategory as to type of crust."
58106360,"Pizza, cheese, with fruit, thick crust","The image shows the food category of pizza, cheese, with fruit, thick crust. Additional details include pan pizza; all fruits including pineapple; pizza on a bagel, English muffin, or French bread."
58106512,"Pizza with pepperoni, from frozen, thin crust","The image shows the food category of pizza with pepperoni, from frozen, thin crust. Additional details include flatbread crust; homemade or ready to bake pizza."
58106514,"Pizza with pepperoni, from frozen, medium crust","The image shows the food category of pizza with pepperoni, from frozen, medium crust. Additional details include original or not specified subcategory as to type of crust; homemade or ready to bake pizza."
58106516,"Pizza with pepperoni, from frozen, thick crust","The image shows the food category of pizza with pepperoni, from frozen, thick crust. Additional details include pan pizza; homemade or ready to bake pizza; pizza on bagel, English muffin, or French bread; bagel bites."
58106540,"Pizza with pepperoni, from restaurant or fast food, not specified subcategory as to type of crust","The image shows the food category of pizza with pepperoni, from restaurant or fast food, not specified subcategory as to type of crust. Additional details include from street vendor."
58106550,"Pizza with pepperoni, from restaurant or fast food, thin crust","The image shows the food category of pizza with pepperoni, from restaurant or fast food, thin crust. Additional details include flatbread crust; from street vendor."
58106555,"Pizza with pepperoni, from restaurant or fast food,  medium crust","The image shows the food category of pizza with pepperoni, from restaurant or fast food,  medium crust. Additional details include original, hand-tossed, or not specified subcategory as to type of crust; from street vendor."
58106560,"Pizza with pepperoni, from restaurant or fast food, thick crust","The image shows the food category of pizza with pepperoni, from restaurant or fast food, thick crust. Additional details include pan pizza; from street vendor; pizza on a bagel, English muffin, or French bread."
58106565,"Pizza with pepperoni, stuffed crust","The image shows the food category of pizza with pepperoni, stuffed crust. Additional details include cheese stuffed crust."
58106570,"Pizza with pepperoni, from school lunch, thin crust","The image shows the food category of pizza with pepperoni, from school lunch, thin crust. Additional details include flatbread crust."
58106578,"Pizza, with pepperoni, from school lunch, medium crust","The image shows the food category of pizza, with pepperoni, from school lunch, medium crust. Additional details include original or not specified subcategory as to type of crust."
58106580,"Pizza with pepperoni, from school lunch, thick crust","The image shows the food category of pizza with pepperoni, from school lunch, thick crust. Additional details include pan pizza; pizza on bagel, English muffin, or French bread."
58106602,"Pizza with meat other than pepperoni, from frozen, thin crust","The image shows the food category of pizza with meat other than pepperoni, from frozen, thin crust. Additional details include all meat, poultry, and seafood toppings excluding pepperoni; with one or two meat toppings; flatbread crust; homemade or ready to bake pizza."
58106604,"Pizza with meat other than pepperoni, from frozen, medium crust","The image shows the food category of pizza with meat other than pepperoni, from frozen, medium crust. Additional details include all meat, poultry, and seafood toppings excluding pepperoni; with one or two meat toppings; original or not specified subcategory as to type of crust; homemade or ready to bake pizza."
58106606,"Pizza with meat other than pepperoni, from frozen, thick crust","The image shows the food category of pizza with meat other than pepperoni, from frozen, thick crust. Additional details include all meat, poultry, and seafood toppings excluding pepperoni; with one or two meat toppings; pan pizza; homemade or ready to bake pizza; pizza on bagel, English muffin, or French bread; bagel bites."
58106610,"Pizza with meat other than pepperoni, from restaurant or fast food, not specified subcategory as to type of crust","The image shows the food category of pizza with meat other than pepperoni, from restaurant or fast food, not specified subcategory as to type of crust. Additional details include with one or two meat toppings; all meat, poultry, and seafood toppings excluding pepperoni; from street vendor."
58106620,"Pizza with meat other than pepperoni, from restaurant or fast food, thin crust","The image shows the food category of pizza with meat other than pepperoni, from restaurant or fast food, thin crust. Additional details include with one or two meat toppings; all meat, poultry, and seafood toppings excluding pepperoni; flatbread crust; from street vendor."
58106625,"Pizza with meat other than pepperoni, from restaurant or fast food, medium crust","The image shows the food category of pizza with meat other than pepperoni, from restaurant or fast food, medium crust. Additional details include with one or two meat toppings; all meat, poultry, and seafood toppings excluding pepperoni; original or hand-tossed crust; from street vendor."
58106630,"Pizza with meat other than pepperoni, from restaurant or fast food, thick crust","The image shows the food category of pizza with meat other than pepperoni, from restaurant or fast food, thick crust. Additional details include pan pizza; with one or two meat toppings; all meat, poultry, and seafood toppings excluding pepperoni; from street vendor; pizza on bagel, English muffin, or French bread."
58106633,"Pizza, with meat other than pepperoni, stuffed crust","The image shows the food category of pizza, with meat other than pepperoni, stuffed crust. Additional details include cheese stuffed crust; all meat, poultry, and seafood toppings excluding pepperoni; with one or two meat toppings."
58106634,"Pizza, with meat other than pepperoni, from school lunch, medium crust","The image shows the food category of pizza, with meat other than pepperoni, from school lunch, medium crust. Additional details include all meat, poultry, and seafood toppings excluding pepperoni; with one or two meat toppings; original or not specified subcategory as to type of crust."
58106635,"Pizza, with meat other than pepperoni, from school lunch, thin crust","The image shows the food category of pizza, with meat other than pepperoni, from school lunch, thin crust. Additional details include all meat, poultry, and seafood toppings excluding pepperoni; with one or two meat toppings; flatbread crust."
58106636,"Pizza, with meat other than pepperoni, from school lunch, thick crust","The image shows the food category of pizza, with meat other than pepperoni, from school lunch, thick crust. Additional details include pan pizza; all meat, poultry, and seafood toppings excluding pepperoni; with one or two meat toppings; pizza on bagel, English muffin, or French bread."
58106650,"Pizza with extra meat, thin crust","The image shows the food category of pizza with extra meat, thin crust. Additional details include with three or more meat toppings; all meat, poultry, and seafood toppings including pepperoni; flatbread crust."
58106655,"Pizza with extra meat, medium crust","The image shows the food category of pizza with extra meat, medium crust. Additional details include with three or more meat toppings; all meat, poultry, and seafood toppings including pepperoni; original, hand-tossed, or not specified subcategory as to type of crust."
58106660,"Pizza with extra meat, thick crust","The image shows the food category of pizza with extra meat, thick crust. Additional details include with three or more meat toppings; pan pizza; all meat, poultry, and seafood toppings including pepperoni; pizza on bagel, English muffin, or French bread."
